"location","source","target","id","developer_comments"
"01a_04600.bin.json:22","04600:022","被叫为爱丽丝的小明牵着手，横穿操场走向校舍。","04600:022","
被叫为爱丽丝的小明牵着手，横穿操场走向校舍。

听到爱丽丝的名字，小明拉着我的手，穿过操场向校舍走去。"
"01a_04600.bin.json:23","04600:023","一边在脚下感受草坪的触感一边眺望秋天的天空，不安的心情稍微放松了一点。","04600:023","
一边在脚下感受草坪的触感一边眺望秋天的天空，不安的心情稍微放松了一点。

脚下感受着草坪的触感，望着秋高气爽的天空，不安的心情稍稍缓解了一些。"
"01a_04600.bin.json:25","04600:025","和小明在走廊分手——","04600:025","
和小明在走廊分手——

和小明在走廊分别——"
"01a_04600.bin.json:30","04600:030","去自己的班。早上的教室里树的香味很强烈。在只有一半同学的教室里——朋友迎接了我。","04600:030","
去自己的班。早上的教室里树的香味很强烈。在只有一半同学的教室里——朋友迎接了我。

去自己的班级。早上的教室里有一股浓郁的木香。在只有一半同学的教室里——朋友迎接了我。"
"01a_04600.bin.json:32","04600:032","春日惠理把包放在桌子上，对我说了很多话。","04600:032","
春日惠理把包放在桌子上，对我说了很多话。

春日惠理对把包放在桌上的我说了很多话。"
"01a_04600.bin.json:33","04600:033","晚上，她对我说，昨天躺在床上想了很久，如果自己组个乐队，该取个什么名字。我提出了几个乐队名的方案——木野友理香。","04600:033","
晚上，她对我说，昨天躺在床上想了很久，如果自己组个乐队，该取个什么名字。我提出了几个乐队名的方案——木野友理香。

晚上，我在床上躺着想，如果自己组成音乐乐队的话会起什么名字呢？我提出了几个乐队名的方案——木野友理香。"
"01a_04600.bin.json:35","04600:035","她有点低血压，早上很弱。现在也在睡了一半的状态下向我们打招呼。成为惯例的早上的日常。","04600:035","
她有点低血压，早上很弱。现在也在睡了一半的状态下向我们打招呼。成为惯例的早上的日常。

她有点低血压，早上不好。她半睡半醒地跟我们打招呼。成为惯例的晨间日常。"
"01a_04600.bin.json:37","04600:037","然后上课顺利进行——小明来邀请大家一起去学校食堂。","04600:037","
然后上课顺利进行——小明来邀请大家一起去学校食堂。

然后课程一顺利地进行——小明来邀请的话大家一起去学校吃饭。"
"01a_04600.bin.json:40","04600:040","食堂里我主要是和食。小明是西餐。木野同学的量特别少。惠理选择油炸食品。","04600:040","
食堂里我主要是和食。小明是西餐。木野同学的量特别少。惠理选择油炸食品。

我在食堂主要吃日本料理。名为西餐。木野同学的量很少。惠理选择油炸食品。"
"01a_04600.bin.json:41","04600:041","学校食堂的好处是便宜，还可以随便添饭，只有我和惠理两个人。饭量小的木野同学姑且不论，小明也很注意身材。","04600:041","
学校食堂的好处是便宜，还可以随便添饭，只有我和惠理两个人。饭量小的木野同学姑且不论，小明也很注意身材。

食堂的好处是便宜和米饭可以自由续杯，但是除了我和惠理以外我都不做。小食的木野同学暂且不说，小明也很注意身材。"
"01a_04600.bin.json:43","04600:043","吃饭时说话的都是惠理和小明。惠理说了和喜欢Ｂ级电影的姐姐一起看过的电影，小明也说了自己看过的印象最深的电影。","04600:043","
吃饭时说话的都是惠理和小明。惠理说了和喜欢Ｂ级电影的姐姐一起看过的电影，小明也说了自己看过的印象最深的电影。

吃饭的时候说的都是惠理和小明。惠理说了和Ｂ级电影喜欢的姐姐交往看的电影，并披露了小明在看的过程中印象最深的电影。"
"01a_04600.bin.json:44","04600:044","据说这是一部从一开始到最后都持续播放蓝色画面的电影，是一部只对导演说的电影。真的吗？一边用叉子向怀疑的两个人宣告不会说谎。我重要的时间。","04600:044","
据说这是一部从一开始到最后都持续播放蓝色画面的电影，是一部只对导演说的电影。真的吗？一边用叉子向怀疑的两个人宣告不会说谎。我重要的时间。

这是一部从头到尾不断播放蓝色画面的电影，据说是一部只有导演讲述的电影。真的吗？一边用叉子指着怀疑的两人，一边宣布不会说谎。这是我宝贵的时间。"
"01a_04600.bin.json:45","04600:045","但是今天有要做的事。稍微早点结束到职员室。我的提议让班主任吃惊——得到了接受。","04600:045","
但是今天有要做的事。稍微早点结束到职员室。我的提议让班主任吃惊——得到了接受。

但是今天有要做的事。稍微提前结束，去教员室。班主任对我的提议一脸惊讶——但还是接受了。"
"01a_04600.bin.json:46","04600:046","吃了午饭，一边犯困一边上课。喜欢的文科科目还可以，理科不行。老师的声音消失在摇篮曲里。在休息时间里发邮件。","04600:046","
吃了午饭，一边犯困一边上课。喜欢的文科科目还可以，理科不行。老师的声音消失在摇篮曲里。在休息时间里发邮件。

午饭困了的课。如果是喜欢的文科课就好了，但是理科不行。老师的声音消失在摇篮曲里。休息时间发邮件。"
"01a_04600.bin.json:47","04600:047","虽然没有回信，但应该看过了吧。然后又上了一堂让人犯困的课——","04600:047","
虽然没有回信，但应该看过了吧。然后又上了一堂让人犯困的课——

虽然没有回信，但还是看了吧。然后又上了引诱睡意的课——"
"01a_04600.bin.json:49","04600:049","课程全部结束，小明邀请惠理回去。但是，我拒绝了有事情。大家对我的话不承点头，离开了教室。","04600:049","
课程全部结束，小明邀请惠理回去。但是，我拒绝了有事情。大家对我的话不承点头，离开了教室。

课都上完了，小明、惠理、木野邀请我回去。但她说有事拒绝了。大家不情愿地点了点头，走出了教室。"
"01a_04600.bin.json:50","04600:050","虽然只有小明好像知道。","04600:050","
虽然只有小明好像知道。

好像只知道名字。"
"01a_04600.bin.json:54","04600:054","爱丽丝","04600:054","
爱丽丝

爱丽丝"
"01a_04600.bin.json:55","04600:055","——约定的时间。","04600:055","爱丽丝

——约定的时间。

——约定的时间。"
"01a_04600.bin.json:57","04600:057","看了表，确认了再过一会儿就到指定的时间了。","04600:057","
看了表，确认了再过一会儿就到指定的时间了。

她看了看表，确认自己指定的时间马上就要到了。"
"01a_04600.bin.json:58","04600:058","那么，","04600:058","
那么

那么，"
"01a_04600.bin.json:59","04600:059","那么，那么，那么——……","04600:059","
那么，那么，那么——……

那么，那么，那么——……"
"01a_04600.bin.json:60","04600:060","反刍头脑中愉快的日常生活，","04600:060","
反刍头脑中愉快的日常生活，

在脑海中回味愉快的日常生活，"
"01a_04600.bin.json:61","04600:061","切换，切换。","04600:061","
切换。

切换，切换。"
"01a_04600.bin.json:63","04600:063","不能破坏这种愉快的日常。","04600:063","
不能破坏这种愉快的日常。

不能破坏这种愉快的日常生活。"
"01a_04600.bin.json:64","04600:064","和朋友的谈话从心底感到愉快，是因为有那个人在。","04600:064","
和朋友的谈话从心底感到愉快，是因为有那个人在。

因为和朋友聊天之所以发自内心地愉快，是因为有那个人在。"
"01a_04600.bin.json:65","04600:065","所以——为了保护不变的日常生活必须战斗。","04600:065","
所以——为了保护不变的日常生活必须战斗。

所以——必须为了维持不变的日常生活而战斗。"
"01a_04600.bin.json:66","04600:066","我对茜色的夕阳眯起眼睛，反复深思熟虑并归结的事情重新考虑。","04600:066","
我对茜色的夕阳眯起眼睛，反复深思熟虑并归结的事情重新考虑。

我在暗红色的夕阳下眯起眼睛，重新思考再三深思熟虑后得出的结论。"
"01a_04600.bin.json:67","04600:067","对，","04600:067","
对，

是的"
"01a_04600.bin.json:69","04600:069","在去见她之前，必须再学习一遍。","04600:069","
在去见她之前，必须再学习一遍。

在去见她之前，我必须再复学一遍。"
"01a_04600.bin.json:70","04600:070","如果程序弄错了，原本就误会了的话，一切都会被除法的吧。","04600:070","
如果程序弄错了，原本就误会了的话，一切都会被除法的吧。

如果弄错了步骤，甚至连想法都弄错了，一切就都泡汤了。"
"01a_04600.bin.json:71","04600:071","看着夕阳，总结想法。","04600:071","
看着夕阳，总结想法。

我望着夕阳整理思绪。"
"01a_04600.bin.json:72","04600:072","虽然我是为了保护茶道部而行动的，但是在接受了某个暗示后，我注意到了，为了避免废部而计算了一下。","04600:072","
虽然我是为了保护茶道部而行动的，但是在接受了某个暗示后，我注意到了，为了避免废部而计算了一下。

为了守护茶道部而行动的我，受到了某种启发，为避免废部而出谋划策。"
"01a_04600.bin.json:73","04600:073","没错，那果然是放在佐和良义宝珠桌上的“恶作剧信”。","04600:073","
没错，那果然是放在佐和良义宝珠桌上的“恶作剧信”。

是的，那还是从放置在佐和良义宝珠桌子上的“恶作剧信”开始的。"
"01a_04600.bin.json:74","04600:074","但是，为什么那封信能有效地避免被废部呢？那是因为——……","04600:074","
但是，为什么那封信能有效地避免被废部呢？那是因为——……

但是，为什么那封信能避免废部呢？"
"01a_04600.bin.json:75","04600:075","推理１“恶作剧之信的意思是？”","04600:075","
推理１“恶作剧之信的意思是？”

推理１“恶作剧信的意思是？”"
"01a_04600.bin.json:76","04600:076","佐和良义宝珠恐吓信","04600:076","
佐和良义宝珠恐吓信

写给佐和良义宝珠的恐吓信"
"01a_04600.bin.json:78","04600:078","弄错对象寄去的不幸信","04600:078","
弄错对象寄去的不幸信

把对方寄错的不幸信"
"01a_04600.bin.json:79","04600:079","教师的传话信","04600:079","
教师的传话信

老师的传呼信"
"01a_04600.bin.json:81","04600:081","没错。当我意识到这一事实时，我也意识到佐和良义宝珠像诅咒般背负的往事的真相。","04600:081","
没错。当我意识到这一事实时，我也意识到佐和良义宝珠像诅咒般背负的往事的真相。

没错。然后，当我发现了那个事实的时候，我也发现了佐和良义宝珠像诅咒一样的过去发生的事情的真相。"
"01a_04600.bin.json:82","04600:082","这是母亲对年幼的她说的话。","04600:082","
这是母亲对年幼的她说的话。

母亲告诉年幼的她的话。"
"01a_04600.bin.json:83","04600:083","“如果没有那样的眼睛就好了。”","04600:083","
“如果没有那样的眼睛就好了。”

“要是没有那样的眼睛就好了。”"
"01a_04600.bin.json:84","04600:084","佐和良义宝珠的声音通过共感看起来像是“朱”的颜色。","04600:084","
佐和良义宝珠的声音通过共感看起来像是“朱”的颜色。

佐和良义宝珠觉得那声音是“朱”的颜色。"
"01a_04600.bin.json:85","04600:085","那是充满愤怒和憎恨的颜色，我知道了没有混合的真正感情。","04600:085","
那是充满愤怒和憎恨的颜色，我知道了没有混合的真正感情。

那是充满愤怒和憎恨的颜色，我知道了这种毫无杂色的真实感情。"
"01a_04600.bin.json:86","04600:086","因为被查明了真相，她放弃了一切。但是，语言的意思是真的吗？","04600:086","
因为被查明了真相，她放弃了一切。但是，语言的意思是真的吗？

面对真相，她放弃了一切。但是，这句话的意思是真的吗？"
"01a_04600.bin.json:87","04600:087","推理２佐和良义宝珠的母亲的话是什么意思？”","04600:087","
推理２佐和良义宝珠的母亲的话是什么意思？”

推理２“佐和良义宝珠母亲的话有什么意义？”"
"01a_04600.bin.json:88","04600:088","女儿憎恨的愤怒","04600:088","
女儿憎恨的愤怒

女儿因憎恨而发的怒"
"01a_04600.bin.json:90","04600:090","对女儿恶意的愤怒","04600:090","
对女儿恶意的愤怒

对女儿恶意的愤怒"
"01a_04600.bin.json:92","04600:092","对佐和良义流的愤怒","04600:092","
对佐和良义流的愤怒

对佐和良义流的愤怒"
"01a_04600.bin.json:97","04600:097","没错。","04600:097","
没错。

没错。"
"01a_04600.bin.json:98","04600:098","我决定了该怎么对她说自己的推测是正确的，然后把视线从夕阳下移开。","04600:098","
我决定了该怎么对她说自己的推测是正确的，然后把视线从夕阳下移开。

我决定对她说自己的推测是正确的，然后从夕阳中移开视线。"
"01a_04600.bin.json:99","04600:099","即使在视线移开的现在，也留下了茜色的残像。那好像在祝福今后发生的事情。","04600:099","
即使在视线移开的现在，也留下了茜色的残像。那好像在祝福今后发生的事情。

视线中虽然已经移开了视线，但暗红色的残像依然残留着。那似乎是在祝福即将发生的事情。"
"01a_04600.bin.json:100","04600:100","宝珠前辈……","04600:100","爱丽丝

宝珠前辈……

宝珠先輩……"
"01a_04600.bin.json:102","04600:102","我嘟囔着名字，向约定的地方走去。","04600:102","
我嘟囔着名字，向约定的地方走去。

我嘟囔着名字，向约定的地方走去。"
"01a_04600.bin.json:105","04600:105","一边踩着玉石，一边往入口。","04600:105","
一边踩着玉石，一边往入口。

她踩着碎石子，走向入口。"
"01a_04600.bin.json:106","04600:106","屈膝而入其中——","04600:106","
屈膝而入其中——

蹲下身，那里——"
"01a_04600.bin.json:107","04600:107","那个时候和，","04600:107","
那个时候和

和那时一样，"
"01a_04600.bin.json:108","04600:108","和第一次去这个茶室的时候一样，房间里秋天的空气就那样，从圆润的拉门像秋天的阳光引诱微睡意一样温柔地照亮了室内。然后，","04600:108","
和第一次去这个茶室的时候一样，房间里秋天的空气就那样，从圆润的拉门像秋天的阳光引诱微睡意一样温柔地照亮了室内。然后

和第一次来茶室时一样，房间里依然弥漫着秋天的气息，秋日的阳光透过圆圆的纸拉门温柔地照在室内，仿佛勾起了睡意。然后，"
"01a_04600.bin.json:110","04600:110","——和那个时候完全不同，背上接受了从拉门射出来的太阳，轮廓淡淡地浮现出来。","04600:110","
——和那个时候完全不同，背上接受了从拉门射出来的太阳，轮廓淡淡地浮现出来。

和那时一分不差，背对着拉门射进来的阳光，轮廓微微浮现。"
"01a_04600.bin.json:111","04600:111","宝珠","04600:111","
宝珠

宝珠"
"01a_04600.bin.json:112","04600:112","一直在等您。","04600:112","宝珠

一直在等您。

我等着你。"
"01a_04600.bin.json:114","04600:114","虽然催促的声音还是让人联想到寒冷的秋天的早晨，但是在冰冷的伞中也有温暖。","04600:114","
虽然催促的声音还是让人联想到寒冷的秋天的早晨，但是在冰冷的伞中也有温暖。

催促的声音还是让人联想到寒冷的秋天的早晨，但冷中带着温暖。"
"01a_04600.bin.json:115","04600:115","被催促、接近的话——……","04600:115","
被催促、接近的话——……

被催促着，走近了——……"
"01a_04600.bin.json:119","04600:119","在逆光下露出了她那张毫不马虎的脸。她的表情不像平时那样稳重凛然，而是像第一次见面时那样，冷峻中透着阳光的温暖，就像秋天一样。","04600:119","
在逆光下露出了她那张毫不马虎的脸。她的表情不像平时那样稳重凛然，而是像第一次见面时那样，冷峻中透着阳光的温暖，就像秋天一样。

逆光不漫的脸露出来。不是平时稳重凛然的表情，而是像第一次见面时一样在冰冷中感受到阳光温暖的秋天一样的人。"
"01a_04600.bin.json:120","04600:120","又长又黑的头发又直又有光泽，五官端正得像假的——因为太过整齐，让人觉得像洋娃娃一样的她坐下，催促我坐在她对面。","04600:120","
又长又黑的头发又直又有光泽，五官端正得像假的——因为太过整齐，让人觉得像洋娃娃一样的她坐下，催促我坐在她对面。

长黑色的头发笔直艳丽，五官像是做的一样端正——因为太整齐了，催促像人偶一样的她坐着让我坐在对面。"
"01a_04600.bin.json:122","04600:122","我来点茶吧。","04600:122","宝珠

我来点茶吧。

我来点茶吧。"
"01a_04600.bin.json:125","04600:125","她拿起茶勺、茶筒，打开盖子，舀起抹茶倒入茶碗。","04600:125","
她拿起茶勺、茶筒，打开盖子，舀起抹茶倒入茶碗。

拿着茶匙的话，拿着筒，打开盖子，把抹茶舀进碗里。"
"01a_04600.bin.json:126","04600:126","然后，将茶碗里的抹茶处理好，用茶碗边缘轻轻地舀茶匙，把放有抹茶的筒放回原来的地方。","04600:126","
然后，将茶碗里的抹茶处理好，用茶碗边缘轻轻地舀茶匙，把放有抹茶的筒放回原来的地方。

然后，将茶碗中的抹茶擦干，用茶碗的边缘轻轻擦去茶勺，将装有抹茶的筒放回原处。"
"01a_04600.bin.json:127","04600:127","虽然是在茶道部的社团活动中多次看到的作品，但是比平时更柔软，而且感觉到了对茶的喜爱。","04600:127","
虽然是在茶道部的社团活动中多次看到的作品，但是比平时更柔软，而且感觉到了对茶的喜爱。

这是在茶道部的活动中多次见到的举止，比平时更加柔和，更能感受到她对茶的喜爱。"
"01a_04600.bin.json:128","04600:128","小心翼翼地做每一个动作，就像对待宝贝婴儿一样。","04600:128","
小心翼翼地做每一个动作，就像对待宝贝婴儿一样。

为了对待重要的婴儿，要认真地进行每一个动作。"
"01a_04600.bin.json:129","04600:129","把水从烧开的铁瓶倒进了碗里。","04600:129","
把水从烧开的铁瓶倒进了碗里。

从烧开的铁壶里把水倒进碗里。"
"01a_04600.bin.json:131","04600:131","然后，","04600:131","
然后

然后，"
"01a_04600.bin.json:133","04600:133","手拿茶筅，左手扶着茶碗缓缓点茶。","04600:133","
手拿茶筅，左手扶着茶碗缓缓点茶。

手拿着茶匙，左手配在碗里慢慢地点茶。"
"01a_04600.bin.json:135","04600:135","耳朵里听到了舒服的声音，伴随着偶尔听到的风的声音，凉爽地回响着。","04600:135","
耳朵里听到了舒服的声音，伴随着偶尔听到的风的声音，凉爽地回响着。

悦耳的声音传来，伴随着不时传来的风声，清凉地回响。"
"01a_04600.bin.json:137","04600:137","——请。","04600:137","宝珠

——请。

请进。"
"01a_04600.bin.json:139","04600:139","正如佐和良义宝珠在端出的碗上点了茶一样，没有泡沫的部分像新月一样映照着。即使心中萦绕的东西让呼吸、心灵痛苦，","04600:139","
正如佐和良义宝珠在端出的碗上点了茶一样，没有泡沫的部分像新月一样映照着。即使心中萦绕的东西让呼吸、心灵痛苦，

佐和良义宝珠端上来的木碗上，没有气泡的部分宛如月牙。胸中萦绕的东西让人喘不过气来，心里难受。"
"01a_04600.bin.json:141","04600:141","我来给您。","04600:141","爱丽丝

我来给您。

我收下了。"
"01a_04600.bin.json:143","04600:143","我猛地压抑住心情，避开没有花纹的方向，抿了一口。","04600:143","
我猛地压抑住心情，避开没有花纹的方向，抿了一口。

她一下子把心情压抑住，为了避免没有花纹的人而开口。"
"01a_04600.bin.json:145","04600:145","——很好吃。","04600:145","爱丽丝

——很好吃。

——好吃。"
"01a_04600.bin.json:147","04600:147","比平时更能说出口的纤细——有着她人品的味道。越好吃，越深胸口越麻。","04600:147","
比平时更能说出口的纤细——有着她人品的味道。越好吃，越深胸口越麻。

比平时口感更细腻——这味道仿佛体现了她的人品。越好吃，越深，心里越麻痹。"
"01a_04600.bin.json:148","04600:148","吃得很好吃。","04600:148","爱丽丝

吃得很好吃。

我吃得很好吃。"
"01a_04600.bin.json:150","04600:150","喝到最后，我放下茶杯，与佐和良义宝珠对峙。","04600:150","
喝到最后，我放下茶杯，与佐和良义宝珠对峙。

我把喝完的茶碗放在最后——和佐和良义宝珠对峙。"
"01a_04600.bin.json:152","04600:152","我一看房间，发现放着的几个茶具都没有了。开始收拾。我打算关闭茶道部。","04600:152","
我一看房间，发现放着的几个茶具都没有了。开始收拾。我打算关闭茶道部。

她瞥了一眼房间，发现放在那里的几个茶具都不见了。开始收拾。我打算关掉茶道社。"
"01a_04600.bin.json:154","04600:154","你开始收拾了吧。","04600:154","爱丽丝

你开始收拾了吧。

开始收拾了吧。"
"01a_04600.bin.json:157","04600:157","嗯。学生会让我让出的日子也快到了。","04600:157","宝珠

嗯。学生会让我让出的日子也快到了。

是的。学生会要求我让出的日期也临近了。"
"01a_04600.bin.json:159","04600:159","语调不变。但是，总觉得有点死心。那是部的事，和她自己有关的事都是那样吧。","04600:159","
语调不变。但是，总觉得有点死心。那是部的事，和她自己有关的事都是那样吧。

语气没变。但总觉得有一种看破红尘的感觉。无论是社团的事，还是与她有关的事，都是如此。"
"01a_04600.bin.json:161","04600:161","我坐着告诉她——没必要关门了。","04600:161","
我坐着告诉她——没必要关门了。

我坐着告诉你——没有必要关部了。"
"01a_04600.bin.json:163","04600:163","说什么呢——","04600:163","宝珠

说什么呢——

什么？"
"01a_04600.bin.json:166","04600:166","就像我之前说过的那样，我不但补充了必要的部员人数，还得到了兼任顾问老师的同意，活动业绩也得到了认可。","04600:166","爱丽丝

就像我之前说过的那样，我不但补充了必要的部员人数，还得到了兼任顾问老师的同意，活动业绩也得到了认可。

像以前说的那样，需要的部员的人数也很充足，顾问的老师也能同意兼部，活动实绩也得到了认可。"
"01a_04600.bin.json:168","04600:168","宝珠前辈，但是张开了嘴唇。这句话的意思是呼叫的“书信”的问题。","04600:168","
宝珠前辈，但是张开了嘴唇。这句话的意思是呼叫的“书信”的问题。

宝珠前辈开口说道。这句话的意思是“书信”的问题。"
"01a_04600.bin.json:169","04600:169","学生会方面认为，被无视送的东西，这是没有申辩的意图的。放弃了权利。","04600:169","
学生会方面认为，被无视送的东西，这是没有申辩的意图的。放弃了权利。

学生会方面发送的东西被无视了，那被认为是没有申辩的意图。放弃了权利。"
"01a_04600.bin.json:170","04600:170","宝珠前辈说过那样的信没看到吧？","04600:170","爱丽丝

宝珠前辈说过那样的信没看到吧？

宝珠前辈不是说过没有看到过这样的书信吗？"
"01a_04600.bin.json:173","04600:173","……[#]是的。我没看。","04600:173","宝珠

……[#]是的。我没看。

……[#]嗯。我没看见。"
"01a_04600.bin.json:175","04600:175","听了那句话，","04600:175","
听了那句话，

听到这句话，"
"01a_04600.bin.json:176","04600:176","为了将夕阳映照在眼中的事情放到嘴唇上，我将脑海中的便利贴重新梳理。因为那个孩子的话，我终于找到了真相。","04600:176","
为了将夕阳映照在眼中的事情放到嘴唇上，我将脑海中的便利贴重新梳理。因为那个孩子的话，我终于找到了真相。

为了将夕阳集中在眼睛上的事情放在嘴唇上，将脑中的便签与之联系起来。有那个孩子的话，终于到达了真相。"
"01a_04600.bin.json:178","04600:178","相信宝珠前辈的话，也听了学生会的顾问教师的话。真的发了信吗？顾问教师证实，她确实发送了呼叫文和书信。","04600:178","爱丽丝

相信宝珠前辈的话，也听了学生会的顾问教师的话。真的发了信吗？顾问教师证实，她确实发送了呼叫文和书信。

我相信宝珠前辈的话，也问了学生会的顾问老师。真的寄出书信了吗？顾问老师证实确实发送了传呼文和书信。"
"01a_04600.bin.json:181","04600:181","我……说是在说谎。","04600:181","宝珠

我……说是在说谎。

我……说是在说谎。"
"01a_04600.bin.json:183","04600:183","没有。我最初以为顾问老师误会了。不小心忘记了。因为比起不太了解的人，宝珠前辈更值得信赖。","04600:183","爱丽丝

没有。我最初以为顾问老师误会了。不小心忘记了。因为比起不太了解的人，宝珠前辈更值得信赖。

否我一开始以为顾问老师想错了。不小心忘记了。那是因为宝珠前辈比不太了解的人更值得信赖。"
"01a_04600.bin.json:185","04600:185","…………","04600:185","宝珠

…………

…………"
"01a_04600.bin.json:187","04600:187","至今为止帮穗高明洗清冤案的也是佐和良义宝珠。","04600:187","
至今为止帮穗高明洗清冤案的也是佐和良义宝珠。

佐和良义宝珠为我们消除了至今为止多次帮助我的穗高明所犯的冤案。"
"01a_04600.bin.json:188","04600:188","但是，经过几次的调查，学生会的董事筒森同学也证实了顾问教师拿到了信离开学生会室。","04600:188","爱丽丝

但是，经过几次的调查，学生会的董事筒森同学也证实了顾问教师拿到了信离开学生会室。

但是，经过几次走访，学生会干部筒森同学甚至证实，她看到顾问教师拿着书函走出了学生会室。"
"01a_04600.bin.json:191","04600:191","我确信，哪一个都没有说谎。","04600:191","爱丽丝

我确信她们都没有说谎。

我确信，哪一个都没有说谎。"
"01a_04600.bin.json:194","04600:194","我毫不畏惧地看着沉默不语的宝珠前辈。她救了我好几次。消除了我和木野同学之间的隔阂也是这样。","04600:194","
我毫不畏惧地看着沉默不语的宝珠前辈。她救了我好几次。消除了我和木野同学之间的隔阂也是这样。

我不畏惧沉默着注视着我的宝珠前辈，回头看。她救了我好几次。我和木野同学的隔阂也消除了。"
"01a_04600.bin.json:195","04600:195","顾问老师确实把书信和传话信放在了宝珠前辈的桌子上。但是，那是……这是一封看不见呼叫的信。","04600:195","爱丽丝

顾问老师确实把书信和传话信放在了宝珠前辈的桌子上。但是，那是……这是一封看不见呼叫的信。

顾问老师确实把书信和传呼信放在宝珠前辈的桌上。但是，这……这封信看不出是呼叫。"
"01a_04600.bin.json:198","04600:198","……[#]看不见的信。","04600:198","宝珠

……[#]看不见的信

……[#]看不见的信。"
"01a_04600.bin.json:201","04600:201","对于像谜一样被嘟囔的话，我前几天在弓道部指导了旧顾问的老师的女儿拉弓。对于突然的话题的变更露出惊讶的表情。","04600:201","
对于像谜一样被嘟囔的话，我前几天在弓道部指导了旧顾问的老师的女儿拉弓。对于突然的话题的变更露出惊讶的表情。

听了她谜语般的低语，我说，前几天，我在弓道社指导前顾问老师的女儿射箭。突然改变话题，露出惊讶的表情。"
